,,全身性結締組織疾患 Systemic connective tissue disorders,,,,M30-M36," 1,000 "
,,變形性背部病變和脊椎病變 Deforming dorsopathies and spondylopathies,,,,M40-M49," 7,095 "
,,椎間盤疾病 Intervertebral disc disorders,,,,M50-M51," 3,169 "
,,背痛 Dorsalgia,,,,M54," 8,636 "
,,軟組織疾患 Soft tissue disorders ,,,,M60-M79," 17,126 "
,,其他肌肉骨骼系統及結締組織疾病 Other disorders of the musculoskeletal system and connective tissue,,,,remainder of M00-M99," 2,530 "
XIV,生殖泌尿系統疾病 Diseases of the genitourinary system,,,,,N00-N99," 23,651 "
,,腎絲球和腎小管－間質疾病 Glomerular and renal tubulo-interstitial diseases,,,,N00-N16," 1,375 "
,,急性腎衰竭和慢性腎臟病 Acute kidney failure and chronic kidney disease,,,,N17-N19," 3,166 "
,,尿石症 Urolithiasis,,,,N20-N23," 1,952 "
,,其他泌尿系統疾病 Other diseases of the urinary system,,,,N25-N39," 7,875 "
,,攝護腺增大 Enlarged prostate,,,,N40," 7,065 "
,,男性不孕症 Male infertility,,,,N46, 114 
,,其他男性生殖器官疾病 Other diseases of male genital organs,,,,N41-N53," 3,255 "
,,乳房疾患 Disorders of breast ,,,,N60-N65," 2,545 "
,,女性骨盆腔器官炎性疾病 Inflammatory diseases of female pelvic organs,,,,N70-N77," 9,799 "
,,"月經、停經和其他女性生殖病況 Menstrual, menopausal and other female genital conditions",,,,N91-N95," 12,407 "
,,女性不孕症 Female infertility,,,,N97, 495 
,,其他生殖泌尿系統疾病 Other diseases of the genitourinary system,,,,remainder of N00-N99," 2,633 "
XV,"妊娠、生產與產褥期 Pregnancy, childbirth and the puerperium",,,,,O00-O9A," 2,037 "
,,終止妊娠伴有合併症 Complications following (induced) termination of pregnancy,,,,O04, 26 
,,其他伴有流產後果的妊娠 Other pregnancy with abortive outcome ,,,,"O00-O03, O07-O08", 480 
,,主要在產前期的妊娠併發症 Complications of pregnancy predominantly in the antenatal period,,,,O10-O48," 1,632 "
,,產程和分娩的併發症 Complications of labor and delivery,,,,O60-O77, 441 
,,足月正常生產 Encounter for full-term uncomplicated delivery,,,,O80, 55 
,,無適應症的剖腹生產 Encounter for cesarean delivery without indication,,,,O82, 2 
,,主要與產褥期有關的併發症 Complications predominantly related to the puerperium,,,,O85-O92, 154 
,,"其他妊娠、生產與產褥期 Other pregnancy, childbirth and the puerperium",,,,remainder of O00-O9A, 227 
XVI,源於周產期的病況 Certain conditions originating in the perinatal period,,,,,P00-P96, 306 
,,"妊娠週數不足及低出生體重有關的新生兒疾患，他處未歸類者  Disorders of newborn related to short gestation and low birth weight, not elsewhere classified",,,,P07, 40 
,,其他源於周產期的病況 Other certain conditions originating in the perinatal period,,,,remainder of P00-P96, 282 
XVII,"先天性畸形、變形與染色體異常 Congenital malformations, deformations and chromosomal abnormalities",,,,,Q00-Q99," 1,090 "
XVIII,"症狀、徵候與臨床和實驗室的異常發現，他處未歸類者 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",,,,,R00-R99," 45,046 "
,,喉嚨痛與胸痛 Pain in throat and chest,,,,R07," 5,499 "
,,腹痛及骨盆痛 Abdominal and pelvic pain,,,,R10," 9,163 "
,,"身體不適 Illness, unspecified",,,,R69, 117 
,,"其他症狀、徵候與臨床和實驗室的異常發現 Other symptoms, signs and abnormal clinical and laboratory findings",,,,remainder of R00-R99," 40,363 "
XIX,"傷害、中毒與其它外因造成的特定影響 Injury, poisoning and certain other consequences of external causes",,,,,S00-T88," 27,683 "
,,顱內損傷 Intracranial injury,,,,S06, 641 
,,其他頭部損傷 Other injuries to the head,,,,"S00-S05, S07-S09"," 3,550 "
,,前臂骨折 Fracture of forearm,,,,S52, 456 
,,股骨骨折 Fracture of femur,,,,S72, 342 
,,"小腿骨折，包含踝 Fracture of lower leg, including ankle",,,,S82, 414 
,,其他損傷 Other injuries,,,,"S10-S51, S53-S71, S73-S81, S83-T14, T79"," 22,058 "
,,燒傷和腐蝕 Burns and corrosions,,,,T20-T32, 804 
,,"藥物、藥劑和生物物質之中毒、不良反應或劑量不足和主要為非醫藥源物質的毒性作用 Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances and toxic effects of substances chiefly nonmedicinal as to source",,,,T36-T65, 435 
,,潛水夫病[減壓症] Caisson disease [decompression sickness],,,,T70.3, 3 
,,"內外科醫療照護之併發症，他處未歸類 Complications of surgical and medical care, not elsewhere classified",,,,T80-T88, 329 
,,"其他傷害、中毒與其它外因造成的特定影響  Injury, poisoning and certain other consequences of external causes",,,,remainder of S00-T88," 3,961 "
XX,導致罹病或致死之外因 External causes of morbidity ,,,,,V00-Y99," 2,460 "
XXI,影響健康狀況及健康服務 Factors influencing health status and contact with health services,,,,,Z00-Z99," 37,770 "
,,來院接受對疑似之疾病和狀況之觀察，已排除 Encounter for medical observation for suspected diseases and conditions ruled out,,,,Z03, 55 
,,來院接受避孕指導處理 Encounter for contraceptive management,,,,Z30, 87 
,,按生產場所及出生型態劃分之活產嬰兒 Liveborn infants according to place of birth and type of delivery,,,,Z38, 17 
,,來院接受其他照護 Encounter for other aftercare,,,,Z51, 205 
,,其他影響健康狀況及健康服務 Other factors influencing health status and contact with health services,,,,remainder of Z00-Z99," 37,633 "
不詳 Unknown,,,,,,," 14,439 "
